0,Hardcover,429,Baumbach Inc,"January 20, 1989",capacitor orchid capacity,1234567890449,Italian,"Ara Ferry, Josue Rolfson, Carmella Gerhold","New York, USA",Costa Book Awards 2013,https://s3.amazonaws.com/uifaces/faces/twitter/hafeeskhan/128.jpg
1,Audio,433,Rutherford Group,"March 13, 2012",payment Technician,1234567890372,English,"Bobbie Daugherty, Margarett Murray","New York, USA",,https://s3.amazonaws.com/uifaces/faces/twitter/gavr1l0/128.jpg
2,Hardcover,417,Lueilwitz and Sons,"June 17, 2015",Alabama synthesize Bike,1234567890493,French,Alexandro Fadel Jr.,"Moscow, Russia","Hugo Award 2014, Costa Book Awards 2013",https://s3.amazonaws.com/uifaces/faces/twitter/rahmeen/128.jpg
3,Kindle,377,Baumbach Inc,"June 22, 1977",Kids,1234567890469,Spanish,Ms. Gerry Stokes,"New York, USA",Pulitzer Prize 2012,https://s3.amazonaws.com/uifaces/faces/twitter/dhilipsiva/128.jpg
4,Paperback,398,Baumbach Inc,"November 10, 2005",Checking Account Venezuela syndicate,1234567890459,Italian,"Ahmad Fadel, Miss Felipe Bartoletti, Isobel Keeling","London, United Kindom",Edgar Awards 2016,https://s3.amazonaws.com/uifaces/faces/twitter/rahmeen/128.jpg
0,Paperback,373,Rutherford Group,"May 22, 1986",support payment,1234567890475,French,"Anna Deckow, Ms. Riley Thompson, Cynthia Metz","New York, USA",Pulitzer Prize 2012,https://s3.amazonaws.com/uifaces/faces/twitter/kohette/128.jpg
1,Paperback,447,Rutherford Group,"March 17, 1990",regional,1234567890426,English,"Aidan Ebert, Lucas Barrows, Danielle Homenick","Moscow, Russia",,https://s3.amazonaws.com/uifaces/faces/twitter/gavr1l0/128.jpg
2,Hardcover,355,Swaniawski Inc,"June 19, 2002",Books Fresh,1234567890452,Italian,"Marcelle Weissnat, Dr. Jarrod Mayer, Lonzo Donnelly","New York, USA",Hugo Award 2014,https://s3.amazonaws.com/uifaces/faces/twitter/hafeeskhan/128.jpg
3,Paperback,366,Rutherford Group,"May 13, 1970",Georgia,1234567890423,English,"Alba Barton, Maybell King, Hulda Strosin","Moscow, Russia",Hugo Award 2014,https://s3.amazonaws.com/uifaces/faces/twitter/gavr1l0/128.jpg
4,Hardcover,396,Lueilwitz and Sons,"May 14, 2015",Car Plastic e-business,1234567890435,Italian,Ms. Brando Murphy,"New York, USA",Costa Book Awards 2013,https://s3.amazonaws.com/uifaces/faces/twitter/fronx/128.jpg
